naam;hoeveelheid;prijs;aanbieding
Smoeltjes Smoeltjes ufo's;6 x 2 stuks;0.99;
Spitz Knuspi melk & hazelnoot;10 stuks;1.29;
Sultana Crunchers Italiaanse kruiden 5x3;175 g;1.67;
Sultana Crunchers kaas & tomaat 5 x 3;175 g;1.65;
Sultana Fruitbiscuit peer en kaneel 5 x 3 stuks;218 g;1.76;
Sultana Fruitbiscuit naturel;5 x 3 stuks;1.68;
Sultana Fruitbiscuit bosvruchten voordeelpak;7 x 3 stuks;2.09;
Sultana Fruitbiscuit appel voordeelpak;7 x 3 stuks;2.08;
Sultana Good Morning naturel;205 g;1.77;
Sultana Good morning cranberry;200 g;1.79;
Sultana Just good hazelnoot-cacao 4-pack;120 g;2.59;
Sultana Just good sinaas-cacao 4-pack;120 g;2.59;
Sultana Knapperrs kokos;5 x 3 stuks;1.35;
Sultana Knapperrs kaneel;5 x 3 stuks;1.39;
Sultana Spelt quinoa cranberry;218 g;1.75;
Sultana Spelt quinoa dadel;218 g;1.95;
Sultana Yofruit bosvruchten;5 x 2 stuks;1.63;
Sultana Yofruit aardbei;5 x 2 stuks;1.69;
Van Delft Dubbeldikjes;250 g;0.93;
Van Delft Likkoekjes;200 g;1.15;
Van Dijk Ambachtelijke speculaas;380 g;1.65;
Verkade Biscuits maria;200 g;1.08;
Verkade Biscuits nizza kokos;240 g;1.03;
Verkade Biscuits nizza kaneel;240 g;1.17;
Verkade Blije biscuitjes;135 g;1.49;
Verkade Café noir;200 g;1.09;
Verkade Choco cookies spongebob;6 x 2 stuks;1.29;
Verkade Crunchy haverkoek;300 g;1.39;
Verkade Digestive original;400 g;1.39;
Verkade Digestive melk;400 g;1.39;
Verkade Digestive puur;400 g;1.39;
Verkade Flexies choco cocos 4x2;127 g;1.39;
Verkade Frou-frou vanille;150 g;1.12;
Verkade Granola cranberry;140 g;1.69;
Verkade Granola pure chocolade & amandel;140 g;1.69;
Verkade Knappertjes;220 g;1.03;
Verkade Koek lange nekken;5 x 2 stuks;1.39;
Verkade Langetjes kaneel;120 g;1.09;
Verkade Mokkasticks;150 g;1.43;
Verkade Nizza karamel zeezout;240 g;1.09;
Verkade Nobo sprits melk;200 g;1.19;
Verkade Nobo spritsen original;200 g;0.98;
Verkade Prinses aardbei;145 g;1.39;
Verkade San Francisco naturel;300 g;1.28;
Verkade San Francisco volkoren;250 g;1.39;
Verkade San Francisco tarwe;320 g;1.39;
Verkade Smilies 5 x 5;190 g;1.49;
Verkade Vanille cookies Dora;9 x 2 stuks;1.42;
Wieger Ketellapper Snelle Jelle zero 6 stuks;216 g;1.79;
Wieger Ketellapper Snelle Jelle kruidkoek;6 x 36 g;1.62;
Zagazoe Minions bello biscuits;4 x 6 stuks;1.66;
Roombotercake half;425 g;2.99;
Speculaasbrokken;3 stuks;2.39;
Abrikozenvlaai heel;Per stuk;2.99;
Ambachtelijke speculaascake;450 g;2.49;
Appelkaneel taart;Per stuk;3.99;
Appelkruimelvlaai;Per stuk;2.99;
Slagroomschnitt;600 g;4.99;
Tompouce;4 stuks;2.99;
Pure Ambacht Aardbeienslof;Per stuk;4.99;
Pure Ambacht Appel kruimelvlaai;Per stuk;2.89;
Pure Ambacht Bananensoezen;2 stuks;2.89;
Pure Ambacht Bossche bollen;2 stuks;2.89;
Pure Ambacht Roombroodjes;2 stuks;1.89;
Pure Ambacht Slagroomsoesjes;14 stuks;2.89;
